id,kanji,hiragana,romaji,example_phrase_references,meaning,adjective_type,theme,past_affirmative,past_negative,past_affirmative_short,past_negative_short,present_affirmative,present_negative,present_negative_short,te_form_affirmative,te_form_negative,adj_naru,grammar_references,kanji_references,jlpt_level,unlocked_at_grammar_id
a022,暑い,あつい,atsui,,hot (weather),i,temperature,暑かったです,暑くなかったです,暑かった,暑くなかった,暑いです,暑くないです,暑くない,暑くて,暑くなくて,,,,N5,
a023,寒い,さむい,samui,,cold (weather),i,temperature,寒かったです,寒くなかったです,寒かった,寒くなかった,寒いです,寒くないです,寒くない,寒くて,寒くなくて,,,,N5,
a024,暖かい,あたたかい,atatakai,,warm,i,temperature,暖かかったです,暖かくなかったです,暖かかった,暖かくなかった,暖かいです,暖かくないです,暖かくない,暖かくて,暖かくなくて,,,,N4,
a025,涼しい,すずしい,suzushii,,cool (weather),i,temperature,涼しかったです,涼しくなかったです,涼しかった,涼しくなかった,涼しいです,涼しくないです,涼しくない,涼しくて,涼しくなくて,,,,N4,
a026,広い,ひろい,hiroi,,wide / spacious,i,size,広かったです,広くなかったです,広かった,広くなかった,広いです,広くないです,広くない,広くて,広くなくて,,,,N5,
a027,狭い,せまい,semai,,narrow / cramped,i,size,狭かったです,狭くなかったです,狭かった,狭くなかった,狭いです,狭くないです,狭くない,狭くて,狭くなくて,,,,N4,
a028,近い,ちかい,chikai,,near / close,i,distance,近かったです,近くなかったです,近かった,近くなかった,近いです,近くないです,近くない,近くて,近くなくて,,,,N5,
a029,遠い,とおい,tooi,,far / distant,i,distance,遠かったです,遠くなかったです,遠かった,遠くなかった,遠いです,遠くないです,遠くない,遠くて,遠くなくて,,,,N5,
a030,多い,おおい,ooi,,many / a lot,i,quantity,多かったです,多くなかったです,多かった,多くなかった,多いです,多くないです,多くない,多くて,多くなくて,,,,N5,
a031,少ない,すくない,sukunai,,few / little,i,quantity,少なかったです,少なくなかったです,少なかった,少なくなかった,少ないです,少なくないです,少なくない,少なくて,少なくなくて,,,,N5,
a032,明るい,あかるい,akarui,,bright / cheerful,i,quality,明るかったです,明るくなかったです,明るかった,明るくなかった,明るいです,明るくないです,明るくない,明るくて,明るくなくて,,,,N4,
a033,暗い,くらい,kurai,,dark / gloomy,i,quality,暗かったです,暗くなかったです,暗かった,暗くなかった,暗いです,暗くないです,暗くない,暗くて,暗くなくて,,,,N4,
a034,白い,しろい,shiroi,,white,i,color,白かったです,白くなかったです,白かった,白くなかった,白いです,白くないです,白くない,白くて,白くなくて,,,,N5,
a035,黒い,くろい,kuroi,,black,i,color,黒かったです,黒くなかったです,黒かった,黒くなかった,黒いです,黒くないです,黒くない,黒くて,黒くなくて,,,,N5,
a036,赤い,あかい,akai,,red,i,color,赤かったです,赤くなかったです,赤かった,赤くなかった,赤いです,赤くないです,赤くない,赤くて,赤くなくて,,,,N5,
a037,青い,あおい,aoi,,blue / green,i,color,青かったです,青くなかったです,青かった,青くなかった,青いです,青くないです,青くない,青くて,青くなくて,,,,N5,
a038,黄色い,きいろい,kiiroi,,yellow,i,color,黄色かったです,黄色くなかったです,黄色かった,黄色くなかった,黄色いです,黄色くないです,黄色くない,黄色くて,黄色くなくて,,,,N5,
a039,甘い,あまい,amai,,sweet,i,taste,甘かったです,甘くなかったです,甘かった,甘くなかった,甘いです,甘くないです,甘くない,甘くて,甘くなくて,,,,N4,
a040,辛い,からい,karai,,spicy / hot,i,taste,辛かったです,辛くなかったです,辛かった,辛くなかった,辛いです,辛くないです,辛くない,辛くて,辛くなくて,,,,N4,
a041,苦い,にがい,nigai,,bitter,i,taste,苦かったです,苦くなかったです,苦かった,苦くなかった,苦いです,苦くないです,苦くない,苦くて,苦くなくて,,,,N4,
a042,酸っぱい,すっぱい,suppai,,sour,i,taste,酸っぱかったです,酸っぱくなかったです,酸っぱかった,酸っぱくなかった,酸っぱいです,酸っぱくないです,酸っぱくない,酸っぱくて,酸っぱくなくて,,,,N4,
a043,おいしい,おいしい,oishii,,delicious / tasty,i,taste,おいしかったです,おいしくなかったです,おいしかった,おいしくなかった,おいしいです,おいしくないです,おいしくない,おいしくて,おいしくなくて,,,,N5,
a044,まずい,まずい,mazui,,bad-tasting / awful,i,taste,まずかったです,まずくなかったです,まずかった,まずくなかった,まずいです,まずくないです,まずくない,まずくて,まずくなくて,,,,N4,
a045,若い,わかい,wakai,,young,i,age,若かったです,若くなかったです,若かった,若くなかった,若いです,若くないです,若くない,若くて,若くなくて,,,,N4,
a046,低い,ひくい,hikui,,low / short (height),i,size,低かったです,低くなかったです,低かった,低くなかった,低いです,低くないです,低くない,低くて,低くなくて,,,,N5,
a047,丸い,まるい,marui,,round / circular,i,shape,丸かったです,丸くなかったです,丸かった,丸くなかった,丸いです,丸くないです,丸くない,丸くて,丸くなくて,,,,N4,
a048,細い,ほそい,hosoi,,thin / slender,i,size,細かったです,細くなかったです,細かった,細くなかった,細いです,細くないです,細くない,細くて,細くなくて,,,,N4,
a049,太い,ふとい,futoi,,thick / fat,i,size,太かったです,太くなかったです,太かった,太くなかった,太いです,太くないです,太くない,太くて,太くなくて,,,,N4,
a050,正しい,ただしい,tadashii,,correct / right,i,quality,正しかったです,正しくなかったです,正しかった,正しくなかった,正しいです,正しくないです,正しくない,正しくて,正しくなくて,,,,N4,
a051,欲しい,ほしい,hoshii,,wanted / desired,i,feeling,欲しかったです,欲しくなかったです,欲しかった,欲しくなかった,欲しいです,欲しくないです,欲しくない,欲しくて,欲しくなくて,,,,N5,
a052,痛い,いたい,itai,,painful,i,feeling,痛かったです,痛くなかったです,痛かった,痛くなかった,痛いです,痛くないです,痛くない,痛くて,痛くなくて,,,,N4,
a053,眠い,ねむい,nemui,,sleepy,i,feeling,眠かったです,眠くなかったです,眠かった,眠くなかった,眠いです,眠くないです,眠くない,眠くて,眠くなくて,,,,N4,
a054,面白い,おもしろい,omoshiroi,,interesting / funny,i,quality,面白かったです,面白くなかったです,面白かった,面白くなかった,面白いです,面白くないです,面白くない,面白くて,面白くなくて,,,,N5,
a055,つまらない,つまらない,tsumaranai,,boring / dull,i,quality,つまらなかったです,つまらなくなかったです,つまらなかった,つまらなくなかった,つまらないです,つまらなくないです,つまらなくない,つまらなくて,つまらなくなくて,,,,N5,
a056,かわいい,かわいい,kawaii,,cute / adorable,i,appearance,かわいかったです,かわいくなかったです,かわいかった,かわいくなかった,かわいいです,かわいくないです,かわいくない,かわいくて,かわいくなくて,,,,N5,
a057,かっこいい,かっこいい,kakkoii,,cool / stylish,i,appearance,かっこよかったです,かっこよくなかったです,かっこよかった,かっこよくなかった,かっこいいです,かっこよくないです,かっこよくない,かっこよくて,かっこよくなくて,,,,N4,
a058,うるさい,うるさい,urusai,,noisy / annoying,i,quality,うるさかったです,うるさくなかったです,うるさかった,うるさくなかった,うるさいです,うるさくないです,うるさくない,うるさくて,うるさくなくて,,,,N4,
a059,静か,しずか,shizuka,,quiet,na,quality,静かでした,静かではありませんでした,静かだった,静かではなかった,静かです,静かではありません,静かではない,静かで,静かではなくて,静かになる,,,N5,
a060,きれい,きれい,kirei,,beautiful / clean,na,appearance,きれいでした,きれいではありませんでした,きれいだった,きれいではなかった,きれいです,きれいではありません,きれいではない,きれいで,きれいではなくて,きれいになる,,,N5,
a061,好き,すき,suki,,liked / favorite,na,feeling,好きでした,好きではありませんでした,好きだった,好きではなかった,好きです,好きではありません,好きではない,好きで,好きではなくて,好きになる,,,N5,
a062,嫌い,きらい,kirai,,disliked,na,feeling,嫌いでした,嫌いではありませんでした,嫌いだった,嫌いではなかった,嫌いです,嫌いではありません,嫌いではない,嫌いで,嫌いではなくて,嫌いになる,,,N5,
a063,便利,べんり,benri,,convenient,na,quality,便利でした,便利ではありませんでした,便利だった,便利ではなかった,便利です,便利ではありません,便利ではない,便利で,便利ではなくて,便利になる,,,N4,
a064,大切,たいせつ,taisetsu,,important / precious,na,quality,大切でした,大切ではありませんでした,大切だった,大切ではなかった,大切です,大切ではありません,大切ではない,大切で,大切ではなくて,大切になる,,,N4,
a065,大丈夫,だいじょうぶ,daijoubu,,okay / all right,na,state,大丈夫でした,大丈夫ではありませんでした,大丈夫だった,大丈夫ではなかった,大丈夫です,大丈夫ではありません,大丈夫ではない,大丈夫で,大丈夫ではなくて,大丈夫になる,,,N5,
a066,有名,ゆうめい,yuumei,,famous,na,social,有名でした,有名ではありませんでした,有名だった,有名ではなかった,有名です,有名ではありません,有名ではない,有名で,有名ではなくて,有名になる,,,N4,
a067,丁寧,ていねい,teinei,,polite / careful,na,manner,丁寧でした,丁寧ではありませんでした,丁寧だった,丁寧ではなかった,丁寧です,丁寧ではありません,丁寧ではない,丁寧で,丁寧ではなくて,丁寧になる,,,N4,
a068,親切,しんせつ,shinsetsu,,kind / helpful,na,manner,親切でした,親切ではありませんでした,親切だった,親切ではなかった,親切です,親切ではありません,親切ではない,親切で,親切ではなくて,親切になる,,,N4,
a069,特別,とくべつ,tokubetsu,,special,na,quality,特別でした,特別ではありませんでした,特別だった,特別ではなかった,特別です,特別ではありません,特別ではない,特別で,特別ではなくて,特別になる,,,N3,
a070,安全,あんぜん,anzen,,safe,na,state,安全でした,安全ではありませんでした,安全だった,安全ではなかった,安全です,安全ではありません,安全ではない,安全で,安全ではなくて,安全になる,,,N4,
a071,危険,きけん,kiken,,dangerous,na,state,危険でした,危険ではありませんでした,危険だった,危険ではなかった,危険です,危険ではありません,危険ではない,危険で,危険ではなくて,危険になる,,,N4,
a072,複雑,ふくざつ,fukuzatsu,,complicated,na,quality,複雑でした,複雑ではありませんでした,複雑だった,複雑ではなかった,複雑です,複雑ではありません,複雑ではない,複雑で,複雑ではなくて,複雑になる,,,N3,
a073,簡単,かんたん,kantan,,easy / simple,na,quality,簡単でした,簡単ではありませんでした,簡単だった,簡単ではなかった,簡単です,簡単ではありません,簡単ではない,簡単で,簡単ではなくて,簡単になる,,,N5,
a074,重要,じゅうよう,juuyou,,important,na,quality,重要でした,重要ではありませんでした,重要だった,重要ではなかった,重要です,重要ではありません,重要ではない,重要で,重要ではなくて,重要になる,,,N3,
a075,自由,じゆう,jiyuu,,free / unrestricted,na,state,自由でした,自由ではありませんでした,自由だった,自由ではなかった,自由です,自由ではありません,自由ではない,自由で,自由ではなくて,自由になる,,,N3,
a076,元気,げんき,genki,,healthy / energetic,na,state,元気でした,元気ではありませんでした,元気だった,元気ではなかった,元気です,元気ではありません,元気ではない,元気で,元気ではなくて,元気になる,,,N5,
a077,心配,しんぱい,shinpai,,worried / anxious,na,feeling,心配でした,心配ではありませんでした,心配だった,心配ではなかった,心配です,心配ではありません,心配ではない,心配で,心配ではなくて,心配になる,,,N4,
a078,上手,じょうず,jouzu,,skilled / good at,na,ability,上手でした,上手ではありませんでした,上手だった,上手ではなかった,上手です,上手ではありません,上手ではない,上手で,上手ではなくて,上手になる,,,N5,
a079,下手,へた,heta,,unskilled / bad at,na,ability,下手でした,下手ではありませんでした,下手だった,下手ではなかった,下手です,下手ではありません,下手ではない,下手で,下手ではなくて,下手になる,,,N5,
a080,得意,とくい,tokui,,good at / strong point,na,ability,得意でした,得意ではありませんでした,得意だった,得意ではなかった,得意です,得意ではありません,得意ではない,得意で,得意ではなくて,得意になる,,,N4,
a081,苦手,にがて,nigate,,weak at / not good at,na,ability,苦手でした,苦手ではありませんでした,苦手だった,苦手ではなかった,苦手です,苦手ではありません,苦手ではない,苦手で,苦手ではなくて,苦手になる,,,N4,
a082,真剣,しんけん,shinken,,serious / earnest,na,manner,真剣でした,真剣ではありませんでした,真剣だった,真剣ではなかった,真剣です,真剣ではありません,真剣ではない,真剣で,真剣ではなくて,真剣になる,,,N3,
a083,正直,しょうじき,shoujiki,,honest,na,manner,正直でした,正直ではありませんでした,正直だった,正直ではなかった,正直です,正直ではありません,正直ではない,正直で,正直ではなくて,正直になる,,,N3,
a084,不思議,ふしぎ,fushigi,,mysterious / strange,na,quality,不思議でした,不思議ではありませんでした,不思議だった,不思議ではなかった,不思議です,不思議ではありません,不思議ではない,不思議で,不思議ではなくて,不思議になる,,,N3,
a085,様々,さまざま,samazama,,various / diverse,na,quantity,様々でした,様々ではありませんでした,様々だった,様々ではなかった,様々です,様々ではありません,様々ではない,様々で,様々ではなくて,様々になる,,,N3,
a086,重い,おもい,omoi,,heavy,i,physical,重かったです,重くありませんでした,重かった,重くなかった,重いです,重くありません,重くない,重くて,重くなくて,重くなる,,,N4,
a087,軽い,かるい,karui,,light (weight),i,physical,軽かったです,軽くありませんでした,軽かった,軽くなかった,軽いです,軽くありません,軽くない,軽くて,軽くなくて,軽くなる,,,N4,
a088,固い,かたい,katai,,hard; firm; stiff,i,physical,固かったです,固くありませんでした,固かった,固くなかった,固いです,固くありません,固くない,固くて,固くなくて,固くなる,,,N4,
a089,柔らかい,やわらかい,yawarakai,,soft; gentle,i,physical,柔らかかったです,柔らかくありませんでした,柔らかかった,柔らかくなかった,柔らかいです,柔らかくありません,柔らかくない,柔らかくて,柔らかくなくて,柔らかくなる,,,N4,
a090,細い,ほそい,hosoi,,thin; slender,i,physical,細かったです,細くありませんでした,細かった,細くなかった,細いです,細くありません,細くない,細くて,細くなくて,細くなる,,,N4,
a091,太い,ふとい,futoi,,thick; fat,i,physical,太かったです,太くありませんでした,太かった,太くなかった,太いです,太くありません,太くない,太くて,太くなくて,太くなる,,,N4,
a092,深い,ふかい,fukai,,deep,i,nature,深かったです,深くありませんでした,深かった,深くなかった,深いです,深くありません,深くない,深くて,深くなくて,深くなる,,,N4,
a093,浅い,あさい,asai,,shallow,i,nature,浅かったです,浅くありませんでした,浅かった,浅くなかった,浅いです,浅くありません,浅くない,浅くて,浅くなくて,浅くなる,,,N4,
a094,広い,ひろい,hiroi,,wide; spacious,i,space,広かったです,広くありませんでした,広かった,広くなかった,広いです,広くありません,広くない,広くて,広くなくて,広くなる,,,N4,
a095,狭い,せまい,semai,,narrow; cramped,i,space,狭かったです,狭くありませんでした,狭かった,狭くなかった,狭いです,狭くありません,狭くない,狭くて,狭くなくて,狭くなる,,,N4,
a096,鋭い,するどい,surudoi,,sharp; acute; keen,i,quality,鋭かったです,鋭くありませんでした,鋭かった,鋭くなかった,鋭いです,鋭くありません,鋭くない,鋭くて,鋭くなくて,鋭くなる,,,N3,
a097,鈍い,にぶい,nibui,,dull; slow; blunt,i,quality,鈍かったです,鈍くありませんでした,鈍かった,鈍くなかった,鈍いです,鈍くありません,鈍くない,鈍くて,鈍くなくて,鈍くなる,,,N3,
a098,激しい,はげしい,hageshii,,intense; fierce; violent,i,degree,激しかったです,激しくありませんでした,激しかった,激しくなかった,激しいです,激しくありません,激しくない,激しくて,激しくなくて,激しくなる,,,N3,
a099,穏やか,おだやか,odayaka,,calm; gentle; mild,na,manner,穏やかでした,穏やかではありませんでした,穏やかだった,穏やかではなかった,穏やかです,穏やかではありません,穏やかではない,穏やかで,穏やかではなくて,穏やかになる,,,N3,
a100,ひどい,ひどい,hidoi,,terrible; awful; severe,i,degree,ひどかったです,ひどくありませんでした,ひどかった,ひどくなかった,ひどいです,ひどくありません,ひどくない,ひどくて,ひどくなくて,ひどくなる,,,N3,
a101,珍しい,めずらしい,mezurashii,,rare; unusual,i,quality,珍しかったです,珍しくありませんでした,珍しかった,珍しくなかった,珍しいです,珍しくありません,珍しくない,珍しくて,珍しくなくて,珍しくなる,,,N3,
a102,厳しい,きびしい,kibishii,,strict; harsh; severe,i,manner,厳しかったです,厳しくありませんでした,厳しかった,厳しくなかった,厳しいです,厳しくありません,厳しくない,厳しくて,厳しくなくて,厳しくなる,,,N3,
a103,優しい,やさしい,yasashii,,kind; gentle; easy,i,manner,優しかったです,優しくありませんでした,優しかった,優しくなかった,優しいです,優しくありません,優しくない,優しくて,優しくなくて,優しくなる,,,N4,
a104,惜しい,おしい,oshii,,regrettable; a shame; wasteful,i,emotion,惜しかったです,惜しくありませんでした,惜しかった,惜しくなかった,惜しいです,惜しくありません,惜しくない,惜しくて,惜しくなくて,惜しくなる,,,N3,
a105,恥ずかしい,はずかしい,hazukashii,,embarrassing; ashamed,i,emotion,恥ずかしかったです,恥ずかしくありませんでした,恥ずかしかった,恥ずかしくなかった,恥ずかしいです,恥ずかしくありません,恥ずかしくない,恥ずかしくて,恥ずかしくなくて,恥ずかしくなる,,,N3,
a106,積極的,せっきょくてき,sekkyokuteki,,proactive; positive,na,manner,積極的でした,積極的ではありませんでした,積極的だった,積極的ではなかった,積極的です,積極的ではありません,積極的ではない,積極的で,積極的ではなくて,積極的になる,,,N3,
a107,消極的,しょうきょくてき,shoukyokuteki,,passive; negative; inactive,na,manner,消極的でした,消極的ではありませんでした,消極的だった,消極的ではなかった,消極的です,消極的ではありません,消極的ではない,消極的で,消極的ではなくて,消極的になる,,,N3,
a108,具体的,ぐたいてき,gutaiteki,,concrete; specific,na,quality,具体的でした,具体的ではありませんでした,具体的だった,具体的ではなかった,具体的です,具体的ではありません,具体的ではない,具体的で,具体的ではなくて,具体的になる,,,N3,
a109,抽象的,ちゅうしょうてき,chuushouteki,,abstract,na,quality,抽象的でした,抽象的ではありませんでした,抽象的だった,抽象的ではなかった,抽象的です,抽象的ではありません,抽象的ではない,抽象的で,抽象的ではなくて,抽象的になる,,,N2,
a110,効果的,こうかてき,koukateki,,effective,na,quality,効果的でした,効果的ではありませんでした,効果的だった,効果的ではなかった,効果的です,効果的ではありません,効果的ではない,効果的で,効果的ではなくて,効果的になる,,,N2,
a111,合理的,ごうりてき,gouriteki,,rational; logical; reasonable,na,quality,合理的でした,合理的ではありませんでした,合理的だった,合理的ではなかった,合理的です,合理的ではありません,合理的ではない,合理的で,合理的ではなくて,合理的になる,,,N2,
a112,感情的,かんじょうてき,kanjouteki,,emotional,na,emotion,感情的でした,感情的ではありませんでした,感情的だった,感情的ではなかった,感情的です,感情的ではありません,感情的ではない,感情的で,感情的ではなくて,感情的になる,,,N2,
a113,客観的,きゃっかんてき,kyakkanteki,,objective,na,quality,客観的でした,客観的ではありませんでした,客観的だった,客観的ではなかった,客観的です,客観的ではありません,客観的ではない,客観的で,客観的ではなくて,客観的になる,,,N2,
a114,主観的,しゅかんてき,shukanteki,,subjective,na,quality,主観的でした,主観的ではありませんでした,主観的だった,主観的ではなかった,主観的です,主観的ではありません,主観的ではない,主観的で,主観的ではなくて,主観的になる,,,N2,
a115,重要,じゅうよう,juuyou,,important; significant,na,quality,重要でした,重要ではありませんでした,重要だった,重要ではなかった,重要です,重要ではありません,重要ではない,重要で,重要ではなくて,重要になる,,,N3,
a116,複雑,ふくざつ,fukuzatsu,,complex; complicated,na,quality,複雑でした,複雑ではありませんでした,複雑だった,複雑ではなかった,複雑です,複雑ではありません,複雑ではない,複雑で,複雑ではなくて,複雑になる,,,N3,
a117,単純,たんじゅん,tanjun,,simple; plain,na,quality,単純でした,単純ではありませんでした,単純だった,単純ではなかった,単純です,単純ではありません,単純ではない,単純で,単純ではなくて,単純になる,,,N3,
a118,柔軟,じゅうなん,juunan,,flexible; supple,na,quality,柔軟でした,柔軟ではありませんでした,柔軟だった,柔軟ではなかった,柔軟です,柔軟ではありません,柔軟ではない,柔軟で,柔軟ではなくて,柔軟になる,,,N2,
a119,慎重,しんちょう,shinchou,,careful; cautious; prudent,na,manner,慎重でした,慎重ではありませんでした,慎重だった,慎重ではなかった,慎重です,慎重ではありません,慎重ではない,慎重で,慎重ではなくて,慎重になる,,,N2,
a120,大胆,だいたん,daitan,,bold; daring,na,manner,大胆でした,大胆ではありませんでした,大胆だった,大胆ではなかった,大胆です,大胆ではありません,大胆ではない,大胆で,大胆ではなくて,大胆になる,,,N2,
a121,悔しい,くやしい,kuyashii,,frustrated; mortified,i,emotion,悔しかったです,悔しくありませんでした,悔しかった,悔しくなかった,悔しいです,悔しくありません,悔しくない,悔しくて,悔しくなくて,悔しくなる,,,N2,
a122,羨ましい,うらやましい,urayamashii,,envious; jealous,i,emotion,羨ましかったです,羨ましくありませんでした,羨ましかった,羨ましくなかった,羨ましいです,羨ましくありません,羨ましくない,羨ましくて,羨ましくなくて,羨ましくなる,,,N2,
a123,頼もしい,たのもしい,tanomoshii,,reliable; reassuring,i,manner,頼もしかったです,頼もしくありませんでした,頼もしかった,頼もしくなかった,頼もしいです,頼もしくありません,頼もしくない,頼もしくて,頼もしくなくて,頼もしくなる,,,N2,
a124,もったいない,もったいない,mottainai,,wasteful; too good to waste,i,manner,もったいなかったです,もったいなくありませんでした,もったいなかった,もったいなくなかった,もったいないです,もったいなくありません,もったいなくない,もったいなくて,もったいなくなくて,もったいなくなる,,,N3,
a125,迅速,じんそく,jinsoku,,swift; prompt; rapid,na,manner,迅速でした,迅速ではありませんでした,迅速だった,迅速ではなかった,迅速です,迅速ではありません,迅速ではない,迅速で,迅速ではなくて,迅速になる,,,N2,
a126,厄介,やっかい,yakkai,,troublesome; annoying,na,quality,厄介でした,厄介ではありませんでした,厄介だった,厄介ではなかった,厄介です,厄介ではありません,厄介ではない,厄介で,厄介ではなくて,厄介になる,,,N2,
a127,わがまま,わがまま,wagamama,,selfish; self-centered,na,manner,わがままでした,わがままではありませんでした,わがままだった,わがままではなかった,わがままです,わがままではありません,わがままではない,わがままで,わがままではなくて,わがままになる,,,N3,
a128,素直,すなお,sunao,,obedient; honest; docile,na,manner,素直でした,素直ではありませんでした,素直だった,素直ではなかった,素直です,素直ではありません,素直ではない,素直で,素直ではなくて,素直になる,,,N3,
a129,真面目,まじめ,majime,,serious; sincere; diligent,na,manner,真面目でした,真面目ではありませんでした,真面目だった,真面目ではなかった,真面目です,真面目ではありません,真面目ではない,真面目で,真面目ではなくて,真面目になる,,,N4,
a130,曖昧,あいまい,aimai,,vague; ambiguous,na,quality,曖昧でした,曖昧ではありませんでした,曖昧だった,曖昧ではなかった,曖昧です,曖昧ではありません,曖昧ではない,曖昧で,曖昧ではなくて,曖昧になる,,,N1,
a131,率直,そっちょく,socchoku,,frank; candid; straightforward,na,manner,率直でした,率直ではありませんでした,率直だった,率直ではなかった,率直です,率直ではありません,率直ではない,率直で,率直ではなくて,率直になる,,,N1,
a132,微妙,びみょう,bimyou,,subtle; delicate; nuanced,na,quality,微妙でした,微妙ではありませんでした,微妙だった,微妙ではなかった,微妙です,微妙ではありません,微妙ではない,微妙で,微妙ではなくて,微妙になる,,,N2,
a133,露骨,ろこつ,rokotsu,,blunt; explicit; undisguised,na,manner,露骨でした,露骨ではありませんでした,露骨だった,露骨ではなかった,露骨です,露骨ではありません,露骨ではない,露骨で,露骨ではなくて,露骨になる,,,N1,
a134,的確,てきかく,tekikaku,,precise; accurate; apt,na,quality,的確でした,的確ではありませんでした,的確だった,的確ではなかった,的確です,的確ではありません,的確ではない,的確で,的確ではなくて,的確になる,,,N1,
a135,著しい,いちじるしい,ichijirushii,,remarkable; notable; striking,i,degree,著しかったです,著しくありませんでした,著しかった,著しくなかった,著しいです,著しくありません,著しくない,著しくて,著しくなくて,著しくなる,,,N1,
